False_Positive_Rate,True_Positive_Rate,Threshold
0.06956521739130435,0.43315508021390375,0.5785213222295612
0.07053140096618357,0.43315508021390375,0.5772752475316532
0.07053140096618357,0.4411764705882353,0.5722793677863263
0.07342995169082125,0.4411764705882353,0.5690213440368815
0.07342995169082125,0.45454545454545453,0.5648485367626361
0.07439613526570048,0.45454545454545453,0.5646347220053523
0.07439613526570048,0.4572192513368984,0.5639897616624221
0.0782608695652174,0.4572192513368984,0.5580762275554136
0.0782608695652174,0.45989304812834225,0.5577094577301384
0.07922705314009662,0.45989304812834225,0.5576227313147322
0.07922705314009662,0.4625668449197861,0.5575093953585141
0.08019323671497584,0.4625668449197861,0.554977465622042
0.08019323671497584,0.4679144385026738,0.5530128621926037
0.0821256038647343,0.4679144385026738,0.5500168831776288
0.0821256038647343,0.47058823529411764,0.5487055103027906
0.08502415458937199,0.47058823529411764,0.5454580064111907
0.08502415458937199,0.4732620320855615,0.5449934320709137
0.08695652173913043,0.4732620320855615,0.5441868654407915
0.08695652173913043,0.48128342245989303,0.5408807590437555
0.08792270531400966,0.48128342245989303,0.5404338183406656
0.08792270531400966,0.4839572192513369,0.5392318782902958
0.08888888888888889,0.4839572192513369,0.5381942953541843
0.08888888888888889,0.48663101604278075,0.5376996265483376
0.09082125603864734,0.48663101604278075,0.5360343455168608
0.09082125603864734,0.4893048128342246,0.5357167777633179
0.09178743961352658,0.4893048128342246,0.535641203430108
0.09178743961352658,0.4919786096256685,0.5347297681311931
0.0927536231884058,0.4919786096256685,0.5334493848355193
0.0927536231884058,0.49732620320855614,0.5294275525378366
0.09468599033816426,0.49732620320855614,0.5286351509269994
0.09468599033816426,0.5213903743315508,0.5213012737179652
0.09758454106280193,0.5213903743315508,0.5199090092744897
0.09758454106280193,0.5240641711229946,0.5179361718286353
0.09855072463768116,0.5240641711229946,0.5174036005151605
0.09855072463768116,0.5374331550802139,0.510816836877501
0.09951690821256039,0.5374331550802139,0.5098315407837214
0.09951690821256039,0.5401069518716578,0.5096660776555626
0.10048309178743961,0.5401069518716578,0.508595687506853
0.10048309178743961,0.5454545454545454,0.5080341929649569
0.10144927536231885,0.5454545454545454,0.5079057280255402
0.10144927536231885,0.5481283422459893,0.5071499852263313
0.10434782608695652,0.5481283422459893,0.5055448111500087
0.10434782608695652,0.5588235294117647,0.5007136164617481
